cat 고양이
pigeon 비둘기
grass 잔디
apple 사과
orange 오렌지
watermelon 수박
computer 컴퓨터
algorithm 알고리즘
bag 가방
money 돈
college 대학교
car 자동차
airplane 비행기
lion 사자
tiger 호랑이
red 빨강
blue 파랑
green 초록
black 검정
purple 보라
rain 비
snow 눈
sun 해
earth 지구
mars 화성
jupiter 목성
saturn 토성
universe 우주
iron 철
cupper 구리
atom 원자
moon 달
guitar 기타
piano 피아노
equation 방정식
gravity 중력
velocity 속도
force 힘
mass 질량
energy 에너지
light 빛
photon 광자
poet 시
tomato 토마토
flower 꽃
brain 뇌
yellow 노랑
pink 분홍
mask 마스크
mean 평균
math 수학
english 영어
culture 문화
water 물
school 학교
tree 나무
scale 크기
january 1월
febrary 2월
march 3월
april 4월
may 5월
june 6월
july 7월
august 8월
september 9월
october 10월
november 11월
december 12월
spring 봄
summer 여름
autumn 가을
winter 겨울
war 전쟁
dog 개
kakao 카카오
chocolate 초콜릿
example 예시
grade 등급
success 성공
robot 로봇
art 미술
music 음악
life 삶
window 창문
input 입력
output 출력
blueberry 블루베리
sound 소리
alphabet 알파벳
time 시간
flag 깃발
night 밤
morning 아침
death 죽음
bomb 폭탄
gun 총
granade 수류탄
bullet 총알
cloud 구름
sky 하늘
star 별
insert 삽입 
